mode,requested_backlog,trial,actual_backlog,p50_ms,p95_ms,p99_ms
fifo,1000,1,939,3.100575,4.509222,5.453683
fifo,1000,2,934,2.641496,3.802703,4.015473
fifo,1000,3,942,4.297959,5.974055,6.754323
fifo,1000,4,957,3.829617,5.129048,5.459057
fifo,1000,5,943,3.814155,5.420888,5.631817
fifo,1000,6,965,4.014918,6.122045,6.209887
fifo,1000,7,949,4.748721,6.419873,6.965531
fifo,1000,8,936,3.540546,5.091551,5.667612
fifo,1000,9,949,3.555446,4.865983,5.320242
fifo,1000,10,953,4.027921,5.395932,5.807931
priority,1000,1,928,0.01177,1.356499,1.643874
priority,1000,2,943,0.196989,1.602445,1.80923
priority,1000,3,968,0.849958,2.445662,2.763417
priority,1000,4,964,1.241373,2.594224,2.652592
priority,1000,5,961,1.157534,2.855985,2.988129
priority,1000,6,958,0.816456,1.857431,2.013624
priority,1000,7,963,1.285608,2.904697,3.285973
priority,1000,8,946,0.109467,1.18196,1.870708
priority,1000,9,944,0.292951,1.600906,2.264943
priority,1000,10,961,0.448158,1.895621,2.323531
fifo,5000,1,4624,13.930623,14.795666,15.091375
fifo,5000,2,4651,16.252918,19.448598,19.854998
fifo,5000,3,4565,14.744733,16.273002,16.587059
fifo,5000,4,4684,16.886563,19.868122,20.231626
fifo,5000,5,4596,16.589905,20.248135,20.732034
fifo,5000,6,4664,16.204491,19.133246,19.579931
fifo,5000,7,4651,16.458997,19.364066,19.902981
fifo,5000,8,4657,15.900411,18.442951,19.254294
fifo,5000,9,4660,15.260596,17.441523,17.912375
fifo,5000,10,4681,16.072669,18.838518,19.361467
priority,5000,1,4696,2.872183,5.843615,6.815637
priority,5000,2,4690,3.399536,6.72126,7.743783
priority,5000,3,4704,2.682087,5.40748,6.128722
priority,5000,4,4287,2.756381,5.587774,6.362512
priority,5000,5,4555,0.393219,1.262141,1.582814
priority,5000,6,4669,2.815965,5.719238,6.728061
priority,5000,7,4629,2.39277,5.137627,6.453404
priority,5000,8,4706,2.713603,5.559701,6.389505
priority,5000,9,4612,0.849857,1.722198,2.070059
priority,5000,10,4718,2.899786,5.7343,6.299417
fifo,10000,1,9430,29.36887,31.745839,32.154023
fifo,10000,2,9405,29.527002,31.540738,31.884637
fifo,10000,3,9433,28.877748,31.502122,31.712008
fifo,10000,4,9140,27.758258,28.808223,28.907838
fifo,10000,5,9388,28.706269,30.761581,30.889867
fifo,10000,6,9441,27.876392,29.021408,29.1057
fifo,10000,7,9424,29.072759,31.591506,32.07206
fifo,10000,8,9399,29.11454,30.989789,31.325435
fifo,10000,9,9459,28.89527,31.539229,31.789836
fifo,10000,10,9381,28.730661,30.573082,30.808613
priority,10000,1,9408,2.224936,4.664176,5.181387
priority,10000,2,9320,2.189791,4.692787,5.617261
priority,10000,3,9432,2.806688,5.601715,6.356489
priority,10000,4,9406,1.326653,2.755108,3.103521
priority,10000,5,9397,2.723089,5.702649,7.38223
priority,10000,6,9459,3.019955,6.241384,8.019708
priority,10000,7,9439,2.925533,6.433311,7.606982
priority,10000,8,9417,2.844336,5.797471,6.754599
priority,10000,9,9418,2.978264,5.852521,6.403955
priority,10000,10,9415,2.789735,5.407974,6.250683
fifo,50000,1,45828,136.721681,139.031085,139.329174
fifo,50000,2,47368,136.207989,137.700335,137.91071
fifo,50000,3,45583,134.923558,137.033361,137.252498
fifo,50000,4,47141,140.460871,145.528143,145.690865
fifo,50000,5,45757,136.26465,146.547181,146.614644
fifo,50000,6,47222,140.474559,146.304437,146.559401
fifo,50000,7,46037,139.10116,141.638507,141.904165
fifo,50000,8,47193,139.953513,145.895537,146.022681
fifo,50000,9,46007,137.567849,146.972632,147.026837
fifo,50000,10,45878,138.997448,143.881837,143.990188
priority,50000,1,47248,2.931893,5.601182,6.192686
priority,50000,2,47196,2.71807,5.280108,5.588392
priority,50000,3,47222,2.780684,5.756431,6.296215
priority,50000,4,47343,2.925322,6.931765,7.823484
priority,50000,5,47205,2.380592,4.952018,5.297773
priority,50000,6,46999,2.609304,5.020943,5.640286
priority,50000,7,46543,2.095702,4.498458,5.109238
priority,50000,8,47185,2.169899,4.003602,4.365344
priority,50000,9,47240,2.733937,5.549825,6.530246
priority,50000,10,47421,2.932481,6.508082,7.671313
fifo,100000,1,92007,276.913609,280.187233,280.343079
fifo,100000,2,92019,272.926593,278.761938,279.245445
fifo,100000,3,94086,276.111027,283.226928,283.252111
fifo,100000,4,90836,271.231684,272.366159,272.506986
fifo,100000,5,94078,275.906108,279.990446,280.021417
fifo,100000,6,91474,272.230629,273.64213,273.867742
fifo,100000,7,94446,273.301537,278.008662,278.225203
fifo,100000,8,91677,274.328905,285.284256,285.321872
fifo,100000,9,93931,276.376988,279.416737,279.482309
fifo,100000,10,91805,273.711012,274.973915,275.102462
priority,100000,1,94405,2.630086,5.306683,6.171218
priority,100000,2,94499,2.755443,5.737438,6.295232
priority,100000,3,94472,2.505133,5.241346,5.673151
priority,100000,4,94248,2.473245,4.866619,5.1769
priority,100000,5,94578,2.389834,5.072163,5.600227
priority,100000,6,93893,2.798785,5.57585,6.786609
priority,100000,7,93833,2.768955,5.358372,6.078444
priority,100000,8,95447,3.166605,7.302801,7.991124
priority,100000,9,95009,2.672758,5.513373,5.862017
priority,100000,10,93197,2.01199,4.284258,4.915592
