mode,trial,backlog,average_ns,p50_ns,p95_ns,p99_ns
fifo,1,91780,260478410.9,261041343,262893167,262977022
fifo,10,93709,267064172.6,266731385,271350026,271750768
fifo,2,94148,269227349.1,268779061,273501642,273537116
fifo,3,93926,269810753.2,268028380,274851128,275112543
fifo,4,93842,268467277.4,268183091,270606367,270712994
fifo,5,94123,269305635.9,267989819,276975182,277272495
fifo,6,94931,271387455.3,270751815,274851792,274993821
fifo,7,95054,270647249.7,270448284,275732398,275925860
fifo,8,94041,269643938.3,268776751,274954304,275154751
fifo,9,93724,268526865.7,268399699,270538893,270741154
priority,1,93965,2827765.0,2737156,5486170,6158448
priority,10,93954,3041184.9,2818159,6721646,7277827
priority,2,94866,3150742.4,2979988,6757941,8128452
priority,3,94790,3293261.2,3157182,6869838,8325074
priority,4,94213,2744918.2,2607960,5414864,5720617
priority,5,92729,2462839.1,2273887,5462459,6567479
priority,6,93136,2383954.0,2393503,4525262,4808062
priority,7,94717,2954399.8,2828749,5799782,6099555
priority,8,94896,3518026.4,3370417,7435765,8790832
priority,9,93823,2962292.3,2891458,5676477,5961154
