policy,workload,iterations,trial,workers,elapsed_s,throughput,steal_attempts,successful_steals
linear,balanced,10000,1,1,24.682,40515,0,0
linear,balanced,10000,1,2,11.682,85599,529,529
linear,balanced,10000,1,4,5.737,174320,1045,664
linear,balanced,10000,1,8,2.884,346751,20816,5540
linear,balanced,10000,1,16,1.539,649840,265712,36462
linear,balanced,10000,10,1,24.672,40533,0,0
linear,balanced,10000,10,2,11.621,86047,25,25
linear,balanced,10000,10,4,5.709,175153,1769,1288
linear,balanced,10000,10,8,2.872,348192,18049,5288
linear,balanced,10000,10,16,1.764,567012,968236,97688
linear,balanced,10000,2,1,24.558,40720,0,0
linear,balanced,10000,2,2,11.686,85575,1121,1121
linear,balanced,10000,2,4,5.741,174198,2298,1674
linear,balanced,10000,2,8,2.841,352013,16019,4300
linear,balanced,10000,2,16,1.6,624944,557032,56019
linear,balanced,10000,3,1,24.205,41314,0,0
linear,balanced,10000,3,2,11.676,85644,46,46
linear,balanced,10000,3,4,5.705,175287,1624,1257
linear,balanced,10000,3,8,2.841,352015,15119,3320
linear,balanced,10000,3,16,1.583,631537,468238,58454
linear,balanced,10000,4,1,24.56,40716,0,0
linear,balanced,10000,4,2,11.679,85626,118,118
linear,balanced,10000,4,4,5.725,174681,1653,1080
linear,balanced,10000,4,8,2.861,349546,6663,1738
linear,balanced,10000,4,16,1.58,633039,442734,57634
linear,balanced,10000,5,1,24.452,40897,0,0
linear,balanced,10000,5,2,11.648,85849,184,184
linear,balanced,10000,5,4,5.711,175113,668,465
linear,balanced,10000,5,8,2.848,351157,10129,2559
linear,balanced,10000,5,16,1.465,682584,328168,33294
linear,balanced,10000,6,1,24.322,41115,0,0
linear,balanced,10000,6,2,11.746,85133,9,9
linear,balanced,10000,6,4,5.743,174111,509,296
linear,balanced,10000,6,8,2.831,353274,10561,3055
linear,balanced,10000,6,16,1.482,674632,195632,25096
linear,balanced,10000,7,1,24.473,40861,0,0
linear,balanced,10000,7,2,11.64,85910,227,227
linear,balanced,10000,7,4,5.703,175345,1262,551
linear,balanced,10000,7,8,2.854,350353,9594,3132
linear,balanced,10000,7,16,2.731,366106,3761101,348466
linear,balanced,10000,8,1,24.311,41134,0,0
linear,balanced,10000,8,2,11.81,84674,1428,1428
linear,balanced,10000,8,4,5.699,175454,2005,1133
linear,balanced,10000,8,8,2.855,350275,5380,1389
linear,balanced,10000,8,16,1.474,678370,160615,30260
linear,balanced,10000,9,1,24.581,40681,0,0
linear,balanced,10000,9,2,11.629,85994,226,225
linear,balanced,10000,9,4,5.757,173692,1758,1758
linear,balanced,10000,9,8,2.856,350123,3279,1713
linear,balanced,10000,9,16,2.055,486655,2012089,187180
linear,balanced,1000,1,1,3.308,302282,0,0
linear,balanced,1000,1,2,1.682,594521,3071,3071
linear,balanced,1000,1,4,0.814,1228511,4744,2537
linear,balanced,1000,1,8,0.605,1652747,58873,19339
linear,balanced,1000,1,16,4.961,201585,10826526,912425
linear,balanced,1000,10,1,3.317,301507,0,0
linear,balanced,1000,10,2,1.72,581550,4587,4587
linear,balanced,1000,10,4,0.838,1193482,10055,5696
linear,balanced,1000,10,8,5.384,185737,4432781,832642
linear,balanced,1000,10,16,4.706,212479,11461643,912910
linear,balanced,1000,2,1,3.582,279187,0,0
linear,balanced,1000,2,2,1.715,583176,5062,5062
linear,balanced,1000,2,4,0.865,1156372,21528,21527
linear,balanced,1000,2,8,5.481,182442,4435179,831038
linear,balanced,1000,2,16,4.882,204839,11081295,911389
linear,balanced,1000,3,1,3.308,302260,0,0
linear,balanced,1000,3,2,1.719,581835,4048,4048
linear,balanced,1000,3,4,0.952,1050125,19581,19578
linear,balanced,1000,3,8,5.487,182258,4365294,829239
linear,balanced,1000,3,16,4.689,213248,10818939,915761
linear,balanced,1000,4,1,3.287,304213,0,0
linear,balanced,1000,4,2,1.707,585744,3528,3528
linear,balanced,1000,4,4,0.852,1173285,24697,10222
linear,balanced,1000,4,8,5.488,182214,4485948,825884
linear,balanced,1000,4,16,4.836,206783,11329180,908060
linear,balanced,1000,5,1,3.375,296273,0,0
linear,balanced,1000,5,2,1.729,578524,5837,5837
linear,balanced,1000,5,4,0.844,1185455,10609,5840
linear,balanced,1000,5,8,5.494,182000,4536201,833067
linear,balanced,1000,5,16,5.01,199611,11236650,910836
linear,balanced,1000,6,1,3.306,302511,0,0
linear,balanced,1000,6,2,1.72,581513,4751,4751
linear,balanced,1000,6,4,0.844,1185297,10399,4120
linear,balanced,1000,6,8,5.735,174368,4252756,802635
linear,balanced,1000,6,16,4.785,208972,11506819,914990
linear,balanced,1000,7,1,3.371,296653,0,0
linear,balanced,1000,7,2,1.745,573126,2845,2845
linear,balanced,1000,7,4,0.822,1216142,1168,854
linear,balanced,1000,7,8,5.723,174733,4333289,831500
linear,balanced,1000,7,16,4.928,202922,11027854,918641
linear,balanced,1000,8,1,3.365,297200,0,0
linear,balanced,1000,8,2,1.768,565594,7171,7171
linear,balanced,1000,8,4,0.847,1180874,6746,6741
linear,balanced,1000,8,8,0.584,1713232,39759,9564
linear,balanced,1000,8,16,4.812,207793,10826876,910761
linear,balanced,1000,9,1,3.382,295713,0,0
linear,balanced,1000,9,2,1.716,582902,1605,1605
linear,balanced,1000,9,4,0.822,1216966,7060,5965
linear,balanced,1000,9,8,5.358,186627,4045522,766464
linear,balanced,1000,9,16,4.937,202545,10908178,913572
linear,balanced,100,1,1,1.421,703818,0,0
linear,balanced,100,1,2,0.785,1273984,66569,63155
linear,balanced,100,1,4,5.33,187606,1232025,592604
linear,balanced,100,1,8,5.795,172549,3909232,856216
linear,balanced,100,1,16,4.613,216796,9078226,930616
linear,balanced,100,10,1,1.391,719136,0,0
linear,balanced,100,10,2,0.843,1186803,91028,86050
linear,balanced,100,10,4,5.79,172713,1290384,622165
linear,balanced,100,10,8,5.728,174586,3810466,846268
linear,balanced,100,10,16,3.542,282364,6672715,670676
linear,balanced,100,2,1,1.381,723859,0,0
linear,balanced,100,2,2,0.898,1113073,89621,84022
linear,balanced,100,2,4,5.996,166788,1242518,600556
linear,balanced,100,2,8,5.546,180300,3802517,860755
linear,balanced,100,2,16,4.68,213658,9064218,926033
linear,balanced,100,3,1,1.452,688757,0,0
linear,balanced,100,3,2,0.782,1279121,63041,60095
linear,balanced,100,3,4,5.9,169489,1266613,611465
linear,balanced,100,3,8,5.783,172921,3822189,856726
linear,balanced,100,3,16,4.506,221926,9316710,925232
linear,balanced,100,4,1,1.422,702990,0,0
linear,balanced,100,4,2,0.827,1208868,80167,75692
linear,balanced,100,4,4,5.808,172162,1279667,615081
linear,balanced,100,4,8,5.493,182038,3748697,874619
linear,balanced,100,4,16,4.558,219396,9032596,924392
linear,balanced,100,5,1,1.444,692708,0,0
linear,balanced,100,5,2,0.748,1336977,69520,66137
linear,balanced,100,5,4,4.789,208794,1138787,553219
linear,balanced,100,5,8,1.54,649370,752137,171926
linear,balanced,100,5,16,4.818,207570,9188442,927216
linear,balanced,100,6,1,1.338,747383,0,0
linear,balanced,100,6,2,0.873,1145233,94889,89171
linear,balanced,100,6,4,5.946,168192,1317922,632910
linear,balanced,100,6,8,5.821,171779,3884981,864588
linear,balanced,100,6,16,4.731,211357,9107443,921998
linear,balanced,100,7,1,1.365,732461,0,0
linear,balanced,100,7,2,0.787,1270916,80345,76088
linear,balanced,100,7,4,5.322,187908,1228211,587056
linear,balanced,100,7,8,5.476,182601,3822550,861785
linear,balanced,100,7,16,4.707,212443,8826954,926181
linear,balanced,100,8,1,1.367,731383,0,0
linear,balanced,100,8,2,0.9,1110840,91798,86599
linear,balanced,100,8,4,6.62,151068,1346308,655910
linear,balanced,100,8,8,3.432,291369,2010462,450893
linear,balanced,100,8,16,4.69,213209,8982660,923339
linear,balanced,100,9,1,1.41,709265,0,0
linear,balanced,100,9,2,0.75,1332477,65487,62391
linear,balanced,100,9,4,5.303,188580,1109024,538060
linear,balanced,100,9,8,5.577,179307,3767920,867806
linear,balanced,100,9,16,0.567,1762218,219156,36258
linear,imbalanced,10000,1,1,24.325,41110,0,0
linear,imbalanced,10000,1,2,11.098,90104,244437,244437
linear,imbalanced,10000,1,4,5.523,181076,185713,185713
linear,imbalanced,10000,1,8,2.876,347726,109306,108287
linear,imbalanced,10000,1,16,5.071,197205,9504848,924276
linear,imbalanced,10000,10,1,24.382,41014,0,0
linear,imbalanced,10000,10,2,11.258,88828,245582,245582
linear,imbalanced,10000,10,4,5.524,181017,185379,185376
linear,imbalanced,10000,10,8,2.929,341359,107845,107647
linear,imbalanced,10000,10,16,1.697,589336,62623,57976
linear,imbalanced,10000,2,1,24.177,41361,0,0
linear,imbalanced,10000,2,2,12.143,82349,227338,227338
linear,imbalanced,10000,2,4,5.497,181928,185726,185726
linear,imbalanced,10000,2,8,2.886,346509,108128,107892
linear,imbalanced,10000,2,16,2.583,387140,2375854,266302
linear,imbalanced,10000,3,1,24.402,40980,0,0
linear,imbalanced,10000,3,2,11.593,86258,247533,247533
linear,imbalanced,10000,3,4,5.531,180802,185722,185722
linear,imbalanced,10000,3,8,2.908,343890,108434,107979
linear,imbalanced,10000,3,16,5.009,199648,9492545,925175
linear,imbalanced,10000,4,1,24.193,41334,0,0
linear,imbalanced,10000,4,2,11.267,88753,241102,241102
linear,imbalanced,10000,4,4,5.532,180779,185827,185827
linear,imbalanced,10000,4,8,2.929,341358,107803,107667
linear,imbalanced,10000,4,16,2.436,410453,1711756,204462
linear,imbalanced,10000,5,1,24.617,40622,0,0
linear,imbalanced,10000,5,2,11.295,88532,245149,245149
linear,imbalanced,10000,5,4,5.559,179903,184978,184978
linear,imbalanced,10000,5,8,2.905,344192,107810,107799
linear,imbalanced,10000,5,16,1.805,554082,326801,80407
linear,imbalanced,10000,6,1,24.343,41080,0,0
linear,imbalanced,10000,6,2,11.379,87884,244286,244286
linear,imbalanced,10000,6,4,5.55,180193,186285,186281
linear,imbalanced,10000,6,8,2.924,342044,108142,107811
linear,imbalanced,10000,6,16,1.723,580549,103028,61452
linear,imbalanced,10000,7,1,24.439,40918,0,0
linear,imbalanced,10000,7,2,11.332,88248,245002,245002
linear,imbalanced,10000,7,4,5.524,181042,185253,185253
linear,imbalanced,10000,7,8,2.907,343939,108152,107748
linear,imbalanced,10000,7,16,1.949,513060,816903,124841
linear,imbalanced,10000,8,1,24.441,40914,0,0
linear,imbalanced,10000,8,2,11.325,88299,244127,244127
linear,imbalanced,10000,8,4,5.492,182082,186667,186667
linear,imbalanced,10000,8,8,2.891,345847,109313,108108
linear,imbalanced,10000,8,16,4.94,202448,9365610,926062
linear,imbalanced,10000,9,1,23.84,41946,0,0
linear,imbalanced,10000,9,2,11.313,88397,244717,244717
linear,imbalanced,10000,9,4,5.526,180956,185412,185409
linear,imbalanced,10000,9,8,2.908,343845,107856,107856
linear,imbalanced,10000,9,16,3.627,275731,5123324,518901
linear,imbalanced,1000,1,1,3.337,299654,0,0
linear,imbalanced,1000,1,2,1.609,621599,207027,207027
linear,imbalanced,1000,1,4,0.835,1197198,166482,166482
linear,imbalanced,1000,1,8,5.502,181763,3988257,847852
linear,imbalanced,1000,1,16,4.783,209053,9759264,920311
linear,imbalanced,1000,10,1,3.412,293044,0,0
linear,imbalanced,1000,10,2,1.633,612217,207242,207242
linear,imbalanced,1000,10,4,0.839,1192565,166325,166325
linear,imbalanced,1000,10,8,5.589,178924,4098589,854649
linear,imbalanced,1000,10,16,4.631,215928,9490356,920654
linear,imbalanced,1000,2,1,3.373,296436,0,0
linear,imbalanced,1000,2,2,1.608,621854,212097,212097
linear,imbalanced,1000,2,4,0.826,1211301,167908,167908
linear,imbalanced,1000,2,8,5.802,172341,4043680,828583
linear,imbalanced,1000,2,16,4.555,219536,9501817,922982
linear,imbalanced,1000,3,1,3.349,298564,0,0
linear,imbalanced,1000,3,2,1.63,613394,210857,210857
linear,imbalanced,1000,3,4,0.835,1197785,167211,167042
linear,imbalanced,1000,3,8,5.686,175860,3834871,807664
linear,imbalanced,1000,3,16,4.539,220306,9412827,922119
