policy,workload,iterations,workers,median_throughput,q1_throughput,q3_throughput,median_attempts,median_successes,steal_success_rate,probes_per_task
linear,balanced,100,1,714200.5,703197.0,729502.0,0.0,0.0,0.0,0.0
linear,balanced,100,2,1239892.0,1155625.5,1277836.75,80256.0,75890.0,0.9455990829346093,0.080256
linear,balanced,100,4,172437.5,168516.25,187832.5,1254565.5,606010.5,0.4830441296209724,1.2545655
linear,balanced,100,8,179803.5,173337.25,182460.25,3806491.5,858740.5,0.22559895378723427,3.8064915
linear,balanced,100,16,215227.0,212634.5,221293.5,9048407.0,924812.0,0.10220716198995028,9.048407
linear,balanced,1000,1,299353.5,296368.0,302276.5,0.0,0.0,0.0,0.0
linear,balanced,1000,2,581692.5,579271.25,583107.5,4317.5,4317.5,1.0,0.0043175
linear,balanced,1000,4,1185376.0,1175182.25,1210477.0,10227.0,5902.5,0.5771487239659724,0.010227
linear,balanced,1000,8,182350.0,182053.5,186404.5,4349291.5,827561.5,0.19027501375798794,4.3492915
linear,balanced,1000,16,205811.0,202639.25,208677.25,11054574.5,912667.5,0.08256016547719679,11.0545745
linear,balanced,10000,1,40790.5,40689.75,41060.5,0.0,0.0,0.0,0.0
linear,balanced,10000,2,85635.0,85581.0,85894.75,205.0,204.5,0.9975609756097561,0.000205
linear,balanced,10000,4,174897.0,174228.5,175253.5,1638.5,1106.5,0.6753127860848337,0.0016385
linear,balanced,10000,8,350314.0,349690.25,351799.0,10345.0,3093.5,0.2990333494441759,0.010345
linear,balanced,10000,16,632288.0,581495.0,668434.0,455486.0,56826.5,0.12476014630526515,0.455486
linear,imbalanced,100,1,720283.0,701458.0,728639.75,0.0,0.0,0.0,0.0
linear,imbalanced,100,2,1310361.0,1279491.25,1367635.5,121889.0,120174.5,0.9859339234877634,0.121889
linear,imbalanced,100,4,163714.5,156759.25,171502.5,1362793.5,646145.0,0.47413272810590895,1.3627935
linear,imbalanced,100,8,179323.5,178182.5,183672.75,3885051.5,859796.0,0.22130877801748575,3.8850515
linear,imbalanced,100,16,214687.5,213273.25,217618.5,9303854.0,923430.0,0.09925241733157034,9.303854
linear,imbalanced,1000,1,297500.0,294950.25,300226.25,0.0,0.0,0.0,0.0
