policy   workload  iterations  workers  median_throughput  q1_throughput  q3_throughput  median_attempts  median_successes  steal_success_rate  probes_per_task
linear   balanced         100        1           714200.5      703197.00      729502.00              0.0               0.0            0.000000         0.000000
linear   balanced         100        2          1239892.0     1155625.50     1277836.75          80256.0           75890.0            0.945599         0.080256
linear   balanced         100        4           172437.5      168516.25      187832.50        1254565.5          606010.5            0.483044         1.254566
linear   balanced         100        8           179803.5      173337.25      182460.25        3806491.5          858740.5            0.225599         3.806491
linear   balanced         100       16           215227.0      212634.50      221293.50        9048407.0          924812.0            0.102207         9.048407
linear   balanced        1000        1           299353.5      296368.00      302276.50              0.0               0.0            0.000000         0.000000
linear   balanced        1000        2           581692.5      579271.25      583107.50           4317.5            4317.5            1.000000         0.004318
linear   balanced        1000        4          1185376.0     1175182.25     1210477.00          10227.0            5902.5            0.577149         0.010227
linear   balanced        1000        8           182350.0      182053.50      186404.50        4349291.5          827561.5            0.190275         4.349291
linear   balanced        1000       16           205811.0      202639.25      208677.25       11054574.5          912667.5            0.082560        11.054574
linear   balanced       10000        1            40790.5       40689.75       41060.50              0.0               0.0            0.000000         0.000000
linear   balanced       10000        2            85635.0       85581.00       85894.75            205.0             204.5            0.997561         0.000205
linear   balanced       10000        4           174897.0      174228.50      175253.50           1638.5            1106.5            0.675313         0.001638
linear   balanced       10000        8           350314.0      349690.25      351799.00          10345.0            3093.5            0.299033         0.010345
linear   balanced       10000       16           632288.0      581495.00      668434.00         455486.0           56826.5            0.124760         0.455486
linear imbalanced         100        1           720283.0      701458.00      728639.75              0.0               0.0            0.000000         0.000000
linear imbalanced         100        2          1310361.0     1279491.25     1367635.50         121889.0          120174.5            0.985934         0.121889
linear imbalanced         100        4           163714.5      156759.25      171502.50        1362793.5          646145.0            0.474133         1.362793
linear imbalanced         100        8           179323.5      178182.50      183672.75        3885051.5          859796.0            0.221309         3.885051
linear imbalanced         100       16           214687.5      213273.25      217618.50        9303854.0          923430.0            0.099252         9.303854
linear imbalanced        1000        1           297500.0      294950.25      300226.25              0.0               0.0            0.000000         0.000000
linear imbalanced        1000        2           616720.0      614515.25      621785.75         210612.0          210612.0            1.000000         0.210612
linear imbalanced        1000        4          1197491.5     1191890.00     1208472.00         166604.5          166604.5            1.000000         0.166604
linear imbalanced        1000        8           177392.0      173206.75      181351.00        4064809.0          841437.0            0.207005         4.064809
linear imbalanced        1000       16           206918.5      204169.50      218212.50        9542298.0          921199.5            0.096539         9.542298
linear imbalanced       10000        1            41047.0       40933.50       41278.00              0.0               0.0            0.000000         0.000000
linear imbalanced       10000        2            88348.0       87975.00       88697.75         244577.0          244577.0            1.000000         0.244577
linear imbalanced       10000        4           180986.5      180784.75      181067.50         185717.5          185717.5            1.000000         0.185718
linear imbalanced       10000        8           343914.5      342494.25      345433.25         108135.0          107833.5            0.997212         0.108135
